Set Name,Card Name,Raw Price,PSA 10 Price,Date,Change in Raw Price
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Dratini #E10,1.65,40.0,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Blastoise #E9,1.8,66.74,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Dragonair #E11,2.0,67.5,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Ivysaur #E2,2.32,80.2,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Squirtle #E7,2.35,182.27,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Bulbasaur #E1,2.96,56.0,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Dragonite #E12,3.12,52.0,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Venusaur #E3,3.25,55.36,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Wartortle #E8,4.0,54.68,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Charmander #E4,4.64,47.89,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Charmeleon #E5,5.33,69.64,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Squirtle [Foil] #E7,5.4,66.0,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Dratini [Rainbow Foil] #E10,6.5,495.0,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Charizard #E6,6.87,126.5,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Blastoise [Foil] #E9,7.48,202.5,2025-02-11,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Bulbasaur [Foil] #E1,8.24,210.0,2025-02-11,N/A
