Set Name,Card Name,Raw Price,PSA 10 Price,Date,Change in Raw Price
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Dragonair #E11,1.63,69.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Blastoise #E9,1.75,66.38,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Dratini #E10,1.94,40.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Wartortle #E8,2.67,54.68,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Bulbasaur #E1,2.99,56.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Venusaur #E3,3.06,55.22,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Charmeleon #E5,3.13,69.74,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Charmander #E4,3.93,47.9,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Dragonite #E12,4.08,67.27,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Ivysaur #E2,4.25,48.09,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Charizard #E6,5.37,125.04,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Squirtle #E7,5.69,182.27,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Squirtle [Foil] #E7,5.92,66.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Dratini [Rainbow Foil] #E10,6.5,495.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Blastoise [Foil] #E9,7.48,202.5,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Bulbasaur [Foil] #E1,8.46,210.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Evolution Pokemon Cards,Charizard [Foil] #E6,10.0,1950.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Best of the Best #20,0.79,67.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Ash's Sacrifice [Foil] #36,0.97,63.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,A Call to Arms #16,0.99,100.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Donfan #11,0.99,62.83,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Nefarious Team Rocket [Foil] #12,0.99,411.99,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Clones #29,1.0,100.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,A Great Day #58,1.04,87.8,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,New Friends and Farewells #59,1.07,115.99,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Teamwork #54,1.17,46.18,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Tears of Pokemon #37,1.29,100.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Better Than Ever #56,1.32,28.89,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,"C'Mon, We Need Help #53",1.37,120.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Racing Cheek to Cheek #48,1.38,44.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Rebirth of Ash #38,1.4,46.0,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Underwater Adventure #17,1.44,46.82,2025-10-25,N/A
Prices For Pokemon 1999 Topps Movie Pokemon Cards,Tempest A Bad Omen #15,1.54,75.0,2025-10-25,N/A
